source_file,line,current_icon,icon_name,inferred_function,exists,status,line_text
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,98,core/system/unclassified/notification.svg,notification,notification,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/system/unclassified/notification.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,103,core/navigation/unclassified/more.svg,more,more,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/navigation/unclassified/more.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,115,core/actions/unclassified/link.svg,link,link,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/link.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,119,core/actions/unclassified/link.svg,link,link,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/link.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,123,core/actions/unclassified/link.svg,link,link,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/link.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,127,core/actions/unclassified/link.svg,link,link,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/link.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,131,core/legal/privacy/cookies.svg,cookies,cookies,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/legal/privacy/cookies.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,15,core/identity/brand/neuroartan/logo-plain.svg,logo-plain,logo-plain,yes,TRUE_MATCH_REVIEW,"src=""/assets/icons/core/identity/brand/neuroartan/logo-plain.svg"""
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,29,core/navigation/unclassified/menu.svg,menu,menu,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/navigation/unclassified/menu.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,42,core/actions/unclassified/search.svg,search,search,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/search.svg"" alt="""">"
